GROMACS
full-atom                                                        
name                      bond_type    epsilon(kcal/mol)                     sigma(Å)
opls_655                      HA                      0.03                      2.42
opls_656                      HA                      0.03                      2.42
opls_670                      CT                      0.066                      3.5
opls_671                      CT                      0.066                      3.5
opls_672                      CT                      0.066                      3.5
opls_673                      CT                      0.066                      3.5
opls_674                      CT                      0.066                      3.5
opls_675                      CT                      0.066                      3.5
opls_676                      CT                      0.066                      3.5
opls_677                      CT                      0.066                      3.5
opls_678                      CT                      0.066                      3.5
opls_679                      CT                      0.066                      3.5
opls_680                      CT                      0.066                      3.5
opls_681                      CT                      0.066                      3.5
opls_697                      Ac3+                      0.054                      3.473
opls_698                      Th4+                      0.05                      3.3
opls_699                      Am3+                      0.05                      3.3
opls_700                      C+                      0.076                      3.55
opls_701                      CT                      0.066                      3.5
opls_702                      HC                      0.03                      2.5
opls_703                      La3+                      0.06                      3.75
opls_704                      Nd3+                      0.054                      3.473
opls_705                      Eu3+                      0.05                      3.3
opls_706                      Gd3+                      0.05                      3.3
opls_707                      Yb3+                      0.04                      2.95
opls_708                      CM                      0.076                      3.55
opls_709                      Cl-                      0.3                      3.4
opls_710                      HC                      0.03                      2.42
opls_711                      CY                      0.066                      3.5
opls_712                      CY                      0.066                      3.5
opls_713                      CY                      0.066                      3.5
opls_714                      CA                      0.07                      3.55
opls_715                      HA                      0.03                      2.42
opls_716                      CA                      0.07                      3.55
opls_717                      HA                      0.03                      2.42
opls_718                      CA                      0.07                      3.55
opls_719                      F                      0.061                      2.85
opls_720                      CA                      0.07                      3.55
opls_721                      F                      0.061                      2.85
opls_722                      Br                      0.47                      3.47
opls_724                      CA                      0.07                      3.55
opls_725                      CT                      0.062                      3.25
opls_726                      F                      0.061                      2.94
opls_727                      CA                      0.07                      3.55
opls_728                      F                      0.061                      2.85
opls_729                      CA                      0.07                      3.55
opls_730                      Br                      0.47                      3.47
opls_731                      CA                      0.07                      3.55
opls_732                      I                      0.58                      3.67
opls_733                      CY                      0.066                      3.5
opls_734                      SH                      0.25                      3.55
opls_735                      CA                      0.07                      3.55
opls_736                      CA                      0.07                      3.55
opls_737                      CA                      0.07                      3.55
opls_738                      CA                      0.07                      3.55
opls_739                      CA                      0.07                      3.55
opls_740                      HA                      0.03                      2.42
opls_741                      HA                      0.03                      2.42
opls_742                      CA                      0.05                      2.25
opls_743                      N2                      0.17                      3.25
opls_744                      H                      0                      0
opls_745                      H                      0                      0
opls_746                      HA                      0.03                      2.42
opls_747                      CT                      0.066                      3.5
opls_748                      CT                      0.066                      3.5
opls_749                      NY                      0.17                      3.25
opls_750                      NZ                      0.17                      3.25
opls_751                      NY                      0.17                      3.25
opls_752                      CA                      0.05                      2.25
opls_753                      NZ                      0.17                      3.2
opls_754                      CZ                      0.066                      3.3
opls_755                      CT                      0.066                      3.3
opls_756                      CT                      0.066                      3.3
opls_757                      CT                      0.066                      3.3
opls_758                      CT                      0.066                      3.3
opls_759                      HC                      0.015                      2.5
opls_760                      NO                      0.12                      3.25
opls_761                      ON                      0.17                      2.96
opls_762                      CT                      0.066                      3.5
opls_763                      HC                      0.015                      2.5
opls_764                      CT                      0.066                      3.5
opls_765                      CT                      0.066                      3.5
